,dataset_name,sampling_budget,query_ratio,mean_accuracy
15397,Parcel_005.csv,0.2,0.08,0.992674905913
1626,Combo_009.csv,0.03,0.07,0.9809344348119999
12528,Gauss_enx_003.csv,0.13,0.09,0.873333373861
17465,Parcel_016.csv,0.07,0.06,0.985640990265
15264,Parcel_005.csv,0.07,0.05,0.9800448736299999
2280,Combo_012.csv,0.09,0.01,0.748033094554
9563,DiagonalRot_enx_006.csv,0.17,0.04,0.966453960218
11698,Gauss_005.csv,0.1,0.09,0.8827719390369999
979,Combo_005.csv,0.18,0.1,0.930066433434
17661,Parcel_017.csv,0.07,0.02,0.948508439251
3819,Diagonal_002.csv,0.02,0.1,0.943859296543
21072,Uniform_eny_004.csv,0.08,0.03,0.980498866728
18558,Uniform_003.csv,0.16,0.09,0.99340663201
13297,Gauss_eny_001.csv,0.1,0.08,0.776272130101
1179,Combo_006.csv,0.18,0.1,0.965002432121
1018,Combo_006.csv,0.02,0.09,0.907910364293
2955,Combo_015.csv,0.16,0.06,0.935484607613
18304,Uniform_002.csv,0.11,0.05,0.988099553876
20350,Uniform_enx_006.csv,0.16,0.01,0.9323581586319999
15765,Parcel_007.csv,0.17,0.06,0.992793835658
2400,Combo_013.csv,0.01,0.01,0.8569854511589999
6945,Diagonal_eny_005.csv,0.15,0.06,0.9418884347290001
4646,Diagonal_006.csv,0.05,0.07,0.9471715819059999
14169,Gauss_eny_005.csv,0.17,0.1,0.8680422759370001
16875,Parcel_013.csv,0.08,0.06,0.98483128533
12635,Gauss_enx_004.csv,0.04,0.06,0.7928135792479999
5425,Diagonal_enx_004.csv,0.03,0.06,0.922921944554
949,Combo_005.csv,0.15,0.1,0.9302625657179999
20510,Uniform_eny_001.csv,0.12,0.01,0.953106782616
19705,Uniform_enx_003.csv,0.11,0.06,0.9897677521770001
5674,Diagonal_enx_005.csv,0.08,0.05,0.935411448895
10879,Gauss_001.csv,0.08,0.1,0.842818288296
11920,Gauss_006.csv,0.13,0.01,0.7736658189210001
9995,DiagonalRot_eny_002.csv,0.2,0.06,0.976257057263
5604,Diagonal_enx_005.csv,0.01,0.05,0.8903909500020001
17243,Parcel_015.csv,0.05,0.04,0.9679916990690001
321,Combo_002.csv,0.13,0.02,0.8094538356119999
15045,Parcel_004.csv,0.05,0.06,0.9780746190690001
18066,Uniform_001.csv,0.07,0.07,0.9906243971500001
8217,DiagonalRot_006.csv,0.02,0.08,0.9885678456299999
13787,Gauss_eny_003.csv,0.19,0.08,0.907831497766
17934,Parcel_018.csv,0.14,0.05,0.970942508213
13014,Gauss_enx_006.csv,0.02,0.05,0.7139482847509999
7254,DiagonalRot_001.csv,0.06,0.05,0.968496892251
12462,Gauss_enx_003.csv,0.07,0.03,0.791990767659
4359,Diagonal_004.csv,0.16,0.1,0.9822852924109999
18936,Uniform_005.csv,0.14,0.07,0.992187956672
948,Combo_005.csv,0.15,0.09,0.9283765475679999
19006,Uniform_006.csv,0.01,0.07,0.977208716638
12353,Gauss_enx_002.csv,0.16,0.04,0.794523354365
19822,Uniform_enx_004.csv,0.03,0.03,0.9627705367820001
12520,Gauss_enx_003.csv,0.13,0.01,0.824485462457
5228,Diagonal_enx_003.csv,0.03,0.09,0.903633048122
12218,Gauss_enx_002.csv,0.02,0.09,0.7562083139329999
10369,DiagonalRot_eny_004.csv,0.17,0.1,0.970440814502
4227,Diagonal_004.csv,0.03,0.08,0.950738976523
12277,Gauss_enx_002.csv,0.08,0.08,0.793071090282
21273,Uniform_eny_005.csv,0.08,0.04,0.9786583153849999
12784,Gauss_enx_004.csv,0.19,0.05,0.865038037877
13813,Gauss_eny_004.csv,0.02,0.04,0.759971953559
15841,Parcel_008.csv,0.05,0.02,0.955859995852
10074,DiagonalRot_eny_003.csv,0.08,0.05,0.992576477784
6393,Diagonal_eny_002.csv,0.2,0.04,0.954071280268
5120,Diagonal_enx_002.csv,0.13,0.01,0.946877535615
12341,Gauss_enx_002.csv,0.15,0.02,0.81082376565
12904,Gauss_enx_005.csv,0.11,0.05,0.8265772861759999
5239,Diagonal_enx_003.csv,0.04,0.1,0.911241171726
8289,DiagonalRot_006.csv,0.09,0.1,0.991808074071
9656,DiagonalRot_eny_001.csv,0.06,0.07,0.9767536735969999
2504,Combo_013.csv,0.11,0.05,0.9522426045450001
19281,Uniform_enx_001.csv,0.09,0.02,0.971649718086
7391,DiagonalRot_001.csv,0.2,0.02,0.970092449558
8954,DiagonalRot_enx_003.csv,0.16,0.05,0.9389300944779999
13134,Gauss_enx_006.csv,0.14,0.05,0.847155646973
110,Combo_001.csv,0.12,0.01,0.800470578307
10071,DiagonalRot_eny_003.csv,0.08,0.02,0.99127922441
11274,Gauss_003.csv,0.08,0.05,0.7615154505580001
13874,Gauss_eny_004.csv,0.08,0.05,0.835077093513
4077,Diagonal_003.csv,0.08,0.08,0.9356040637459999
13425,Gauss_eny_002.csv,0.03,0.06,0.805693909277
20484,Uniform_eny_001.csv,0.09,0.05,0.9900981405179999
6560,Diagonal_eny_003.csv,0.17,0.01,0.934068281559
12931,Gauss_enx_005.csv,0.14,0.02,0.8132768666150001
12398,Gauss_enx_002.csv,0.2,0.09,0.881324475249
8437,DiagonalRot_enx_001.csv,0.04,0.08,0.992238630986
5063,Diagonal_enx_002.csv,0.07,0.04,0.921572152792
14067,Gauss_eny_005.csv,0.07,0.08,0.8331062893260001
20653,Uniform_eny_002.csv,0.06,0.04,0.972109781058
11514,Gauss_004.csv,0.12,0.05,0.8194434335240001
95,Combo_001.csv,0.1,0.06,0.8357110887129999
10062,DiagonalRot_eny_003.csv,0.07,0.03,0.992712156811
10098,DiagonalRot_eny_003.csv,0.1,0.09,0.982221193518
2611,Combo_014.csv,0.02,0.02,0.914626848353
8411,DiagonalRot_enx_001.csv,0.02,0.02,0.9925621731569999
13655,Gauss_eny_003.csv,0.06,0.06,0.842197776028
12670,Gauss_enx_004.csv,0.08,0.01,0.8362210483329999
17572,Parcel_016.csv,0.18,0.03,0.984020766814
18758,Uniform_004.csv,0.16,0.09,0.995545106046
5703,Diagonal_enx_005.csv,0.11,0.04,0.919245944377
18031,Uniform_001.csv,0.04,0.02,0.9561205363390001
6457,Diagonal_eny_003.csv,0.06,0.08,0.940379926752
10796,DiagonalRot_eny_006.csv,0.2,0.07,0.982905684595
12793,Gauss_enx_004.csv,0.2,0.04,0.8657846954809999
6742,Diagonal_eny_004.csv,0.15,0.03,0.9316864836740001
8851,DiagonalRot_enx_003.csv,0.06,0.02,0.9532928327
11149,Gauss_002.csv,0.15,0.1,0.894371669781
4791,Diagonal_006.csv,0.2,0.02,0.950619277374
15121,Parcel_004.csv,0.13,0.02,0.9456002990189999
8085,DiagonalRot_005.csv,0.09,0.06,0.939097440235
319,Combo_002.csv,0.12,0.1,0.8906453568260001
9432,DiagonalRot_enx_006.csv,0.04,0.03,0.9549492623899999
12063,Gauss_enx_001.csv,0.07,0.04,0.814987706421
18670,Uniform_004.csv,0.08,0.01,0.9418469410700001
5913,Diagonal_enx_006.csv,0.12,0.04,0.962525059885
5614,Diagonal_enx_005.csv,0.02,0.05,0.895920946274
21485,Uniform_eny_006.csv,0.09,0.06,0.988760308219
5493,Diagonal_enx_004.csv,0.1,0.04,0.9471831754539999
15864,Parcel_008.csv,0.07,0.05,0.9864593678299999
16186,Parcel_009.csv,0.19,0.07,0.991220046315
330,Combo_002.csv,0.14,0.01,0.801777490994
9978,DiagonalRot_eny_002.csv,0.18,0.09,0.976176468767
9004,DiagonalRot_enx_004.csv,0.01,0.05,0.942463460504
3116,Combo_016.csv,0.12,0.07,0.9909908321690001
10984,Gauss_001.csv,0.19,0.05,0.852204844515
3331,Combo_017.csv,0.14,0.02,0.970642280467
613,Combo_004.csv,0.02,0.04,0.918395731319
21446,Uniform_eny_006.csv,0.05,0.07,0.9876475987019999
7579,DiagonalRot_002.csv,0.18,0.1,0.9707238229080001
14847,Parcel_003.csv,0.05,0.08,0.9878784416140001
11145,Gauss_002.csv,0.15,0.06,0.8720463223200001
16174,Parcel_009.csv,0.18,0.05,0.986092435282
6158,Diagonal_eny_001.csv,0.16,0.09,0.976596625121
16501,Parcel_011.csv,0.11,0.02,0.974259910567
17265,Parcel_015.csv,0.07,0.06,0.9813560298540001
13421,Gauss_eny_002.csv,0.03,0.02,0.809004285344
17758,Parcel_017.csv,0.16,0.09,0.993075685648
10841,Gauss_001.csv,0.05,0.02,0.7445106259800001
11459,Gauss_004.csv,0.06,0.1,0.8330059051109999
10290,DiagonalRot_eny_004.csv,0.1,0.01,0.957601709963
16055,Parcel_009.csv,0.06,0.06,0.9815958083480001
7496,DiagonalRot_002.csv,0.1,0.07,0.973288999745
2259,Combo_012.csv,0.06,0.1,0.8865074672840001
3464,Combo_018.csv,0.07,0.05,0.9847246815970001
14508,Parcel_001.csv,0.11,0.09,0.9917233957100001
6900,Diagonal_eny_005.csv,0.11,0.01,0.919145552774
9925,DiagonalRot_eny_002.csv,0.13,0.06,0.975438448863
7874,DiagonalRot_004.csv,0.08,0.05,0.969821113093
6125,Diagonal_eny_001.csv,0.13,0.06,0.962411034774
12645,Gauss_enx_004.csv,0.05,0.06,0.791243827815
1278,Combo_007.csv,0.08,0.09,0.991649754244
20870,Uniform_eny_003.csv,0.08,0.01,0.9318093857359999
10668,DiagonalRot_eny_006.csv,0.07,0.09,0.9700074277509999
11643,Gauss_005.csv,0.05,0.04,0.798489074526
18897,Uniform_005.csv,0.1,0.08,0.992099722229
6057,Diagonal_eny_001.csv,0.06,0.08,0.950238657383
16611,Parcel_012.csv,0.02,0.02,0.80928897676
14461,Parcel_001.csv,0.07,0.02,0.926744019792
7018,Diagonal_eny_006.csv,0.02,0.09,0.932644880553
5688,Diagonal_enx_005.csv,0.09,0.09,0.9207311732150001
16550,Parcel_011.csv,0.16,0.01,0.957178070246
51,Combo_001.csv,0.06,0.02,0.768303188325
8500,DiagonalRot_enx_001.csv,0.11,0.01,0.993613224946
92,Combo_001.csv,0.1,0.03,0.812946451901
8218,DiagonalRot_006.csv,0.02,0.09,0.9877703060780001
9923,DiagonalRot_eny_002.csv,0.13,0.04,0.982951545715
17610,Parcel_017.csv,0.02,0.01,0.7596708725660001
4329,Diagonal_004.csv,0.13,0.1,0.9728700406759999
10084,DiagonalRot_eny_003.csv,0.09,0.05,0.992502219098
19602,Uniform_enx_003.csv,0.01,0.03,0.929302030655
20575,Uniform_eny_001.csv,0.18,0.06,0.9939778051200001
7444,DiagonalRot_002.csv,0.05,0.05,0.967841953677
19172,Uniform_006.csv,0.18,0.03,0.9886908741249999
8554,DiagonalRot_enx_001.csv,0.16,0.05,0.997594009883
10852,Gauss_001.csv,0.06,0.03,0.766931432083
20276,Uniform_enx_006.csv,0.08,0.07,0.986471190194
17035,Parcel_014.csv,0.04,0.06,0.983866060641
5340,Diagonal_enx_003.csv,0.15,0.01,0.9213006983140001
11316,Gauss_003.csv,0.12,0.07,0.8198937990780001
18970,Uniform_005.csv,0.18,0.01,0.958327927307
7822,DiagonalRot_004.csv,0.03,0.03,0.961673171997
11990,Gauss_006.csv,0.2,0.01,0.8023844086859999
9167,DiagonalRot_enx_004.csv,0.17,0.08,0.978109995359
7971,DiagonalRot_004.csv,0.18,0.02,0.982154015799
3869,Diagonal_002.csv,0.07,0.1,0.9663770440430001
17895,Parcel_018.csv,0.1,0.06,0.965026816664
10821,Gauss_001.csv,0.03,0.02,0.7380012968649999
19858,Uniform_enx_004.csv,0.06,0.09,0.9919730268350001
2593,Combo_013.csv,0.2,0.04,0.950193321179
14459,Parcel_001.csv,0.06,0.1,0.990051083853
9780,DiagonalRot_eny_001.csv,0.19,0.01,0.981221061872
18756,Uniform_004.csv,0.16,0.07,0.994706251104
12559,Gauss_enx_003.csv,0.16,0.1,0.881407662844
4526,Diagonal_005.csv,0.13,0.07,0.9437255732909999
8484,DiagonalRot_enx_001.csv,0.09,0.05,0.9969747162200001
18804,Uniform_005.csv,0.01,0.05,0.9578402442280001
6050,Diagonal_eny_001.csv,0.06,0.01,0.951557025839
8846,DiagonalRot_enx_003.csv,0.05,0.07,0.8934893492839999
8166,DiagonalRot_005.csv,0.17,0.07,0.960650026101
9703,DiagonalRot_eny_001.csv,0.11,0.04,0.967751939476
12630,Gauss_enx_004.csv,0.04,0.01,0.810917554487
6676,Diagonal_eny_004.csv,0.08,0.07,0.948806012272
19624,Uniform_enx_003.csv,0.03,0.05,0.972967302308
12980,Gauss_enx_005.csv,0.19,0.01,0.7756697583409999
9705,DiagonalRot_eny_001.csv,0.11,0.06,0.970391312861
16640,Parcel_012.csv,0.05,0.01,0.7269895695909999
7636,DiagonalRot_003.csv,0.04,0.07,0.9552408617470001
18340,Uniform_002.csv,0.15,0.01,0.9550085796150001
573,Combo_003.csv,0.18,0.04,0.9060291682610001
13005,Gauss_enx_006.csv,0.01,0.06,0.715592009613
12691,Gauss_enx_004.csv,0.1,0.02,0.83049795136
6993,Diagonal_eny_005.csv,0.2,0.04,0.9588770816490001
5396,Diagonal_enx_003.csv,0.2,0.07,0.948395953258
11699,Gauss_005.csv,0.1,0.1,0.882189744517
18170,Uniform_001.csv,0.18,0.01,0.9612760529090001
5679,Diagonal_enx_005.csv,0.08,0.1,0.928886066117
68,Combo_001.csv,0.07,0.09,0.829043389324
15949,Parcel_008.csv,0.15,0.1,0.9949425907889999
2999,Combo_015.csv,0.2,0.1,0.962486595879
4746,Diagonal_006.csv,0.15,0.07,0.954754169041
10504,DiagonalRot_eny_005.csv,0.11,0.05,0.9895646004790001
8532,DiagonalRot_enx_001.csv,0.14,0.03,0.9980695822490001
12543,Gauss_enx_003.csv,0.15,0.04,0.8461282649169999
12544,Gauss_enx_003.csv,0.15,0.05,0.8289344194470001
5691,Diagonal_enx_005.csv,0.1,0.02,0.925307837154
10375,DiagonalRot_eny_004.csv,0.18,0.06,0.982466517781
19403,Uniform_enx_002.csv,0.01,0.04,0.952225767985
15521,Parcel_006.csv,0.13,0.02,0.967188669283
11766,Gauss_005.csv,0.17,0.07,0.888235969534
13291,Gauss_eny_001.csv,0.1,0.02,0.817426603915
4341,Diagonal_004.csv,0.15,0.02,0.9566080447799998
3017,Combo_016.csv,0.02,0.08,0.9798334950550001
14230,Gauss_eny_006.csv,0.04,0.01,0.803511768293
10739,DiagonalRot_eny_006.csv,0.14,0.1,0.972253747965
19059,Uniform_006.csv,0.06,0.1,0.99417144229
10862,Gauss_001.csv,0.07,0.03,0.7839898513160001
4075,Diagonal_003.csv,0.08,0.06,0.920395428416
19024,Uniform_006.csv,0.03,0.05,0.9809323826540001
9664,DiagonalRot_eny_001.csv,0.07,0.05,0.954121511399
16426,Parcel_011.csv,0.03,0.07,0.983602310824
17213,Parcel_015.csv,0.02,0.04,0.9491992837950001
16638,Parcel_012.csv,0.04,0.09,0.983149869037
10826,Gauss_001.csv,0.03,0.07,0.781767884707
3495,Combo_018.csv,0.1,0.06,0.990677362054
7143,Diagonal_eny_006.csv,0.15,0.04,0.9631842964339999
16423,Parcel_011.csv,0.03,0.04,0.9730248392799998
14485,Parcel_001.csv,0.09,0.06,0.9850204305310001
10669,DiagonalRot_eny_006.csv,0.07,0.1,0.973796876548
1485,Combo_008.csv,0.09,0.06,0.989704518786
19259,Uniform_enx_001.csv,0.06,0.1,0.9914031526629999
7652,DiagonalRot_003.csv,0.06,0.03,0.950452469492
16102,Parcel_009.csv,0.11,0.03,0.970226349131
16196,Parcel_009.csv,0.2,0.07,0.992916453265
14723,Parcel_002.csv,0.13,0.04,0.9858462328409999
675,Combo_004.csv,0.08,0.06,0.943621683488
5134,Diagonal_enx_002.csv,0.14,0.05,0.947179521118
23,Combo_001.csv,0.03,0.04,0.783540589048
20378,Uniform_enx_006.csv,0.18,0.09,0.9928949670620001
12235,Gauss_enx_002.csv,0.04,0.06,0.727398832377
14146,Gauss_eny_005.csv,0.15,0.07,0.85046370786
3046,Combo_016.csv,0.05,0.07,0.9869505101180001
2036,Combo_011.csv,0.04,0.07,0.849926929696
3065,Combo_016.csv,0.07,0.06,0.985505183713
11299,Gauss_003.csv,0.1,0.1,0.8560786216159999
6109,Diagonal_eny_001.csv,0.11,0.1,0.962511457173
17696,Parcel_017.csv,0.1,0.07,0.9890394997499999
7098,Diagonal_eny_006.csv,0.1,0.09,0.947576139278
6375,Diagonal_eny_002.csv,0.18,0.06,0.960590820434
7871,DiagonalRot_004.csv,0.08,0.02,0.971818387481
7980,DiagonalRot_004.csv,0.19,0.01,0.973096111217
10679,DiagonalRot_eny_006.csv,0.08,0.1,0.968796773071
6927,Diagonal_eny_005.csv,0.13,0.08,0.9546797529009999
1041,Combo_006.csv,0.05,0.02,0.903466300835
10217,DiagonalRot_eny_004.csv,0.02,0.08,0.956714926608
20644,Uniform_eny_002.csv,0.05,0.05,0.9722655820180001
19534,Uniform_enx_002.csv,0.14,0.05,0.990787256232
9605,DiagonalRot_eny_001.csv,0.01,0.06,0.9390933355169999
114,Combo_001.csv,0.12,0.05,0.860471046374
6991,Diagonal_eny_005.csv,0.2,0.02,0.929011686087
9390,DiagonalRot_enx_005.csv,0.2,0.01,0.957165363592
4250,Diagonal_004.csv,0.06,0.01,0.9421155673620001
7550,DiagonalRot_002.csv,0.16,0.01,0.969506718305
8422,DiagonalRot_enx_001.csv,0.03,0.03,0.9974023381630001
18666,Uniform_004.csv,0.07,0.07,0.990569108482
21263,Uniform_eny_005.csv,0.07,0.04,0.975037534297
3853,Diagonal_002.csv,0.06,0.04,0.9620198961740001
5813,Diagonal_enx_006.csv,0.02,0.04,0.936265068212
14897,Parcel_003.csv,0.1,0.08,0.989171851264
20409,Uniform_eny_001.csv,0.01,0.1,0.983159067536
1758,Combo_009.csv,0.16,0.09,0.994022787113
15137,Parcel_004.csv,0.14,0.08,0.9911218415399999
7644,DiagonalRot_003.csv,0.05,0.05,0.94838180244
3680,Diagonal_001.csv,0.09,0.01,0.9313633272830001
11682,Gauss_005.csv,0.09,0.03,0.816588210381
19433,Uniform_enx_002.csv,0.04,0.04,0.980175329856
3598,Combo_018.csv,0.2,0.09,0.995465789376
20726,Uniform_eny_002.csv,0.13,0.07,0.9907419198899999
19125,Uniform_006.csv,0.13,0.06,0.99333516325
7410,DiagonalRot_002.csv,0.02,0.01,0.9596074965100001
11405,Gauss_004.csv,0.01,0.06,0.6907974640800001
10434,DiagonalRot_eny_005.csv,0.04,0.05,0.9872238258399999
6278,Diagonal_eny_002.csv,0.08,0.09,0.9520702947030001
20466,Uniform_eny_001.csv,0.07,0.07,0.9912105197679999
17768,Parcel_017.csv,0.17,0.09,0.9928674760189999
9869,DiagonalRot_eny_002.csv,0.07,0.1,0.9763398237250001
6319,Diagonal_eny_002.csv,0.12,0.1,0.9730146955329999
16651,Parcel_012.csv,0.06,0.02,0.9006789311229999
15040,Parcel_004.csv,0.05,0.01,0.765697323444
11438,Gauss_004.csv,0.04,0.09,0.794761833081
18684,Uniform_004.csv,0.09,0.05,0.988518998693
1780,Combo_009.csv,0.19,0.01,0.955938480398
20090,Uniform_enx_005.csv,0.1,0.01,0.94768768067
16301,Parcel_010.csv,0.11,0.02,0.956135052342
3822,Diagonal_002.csv,0.03,0.03,0.956666117993
16769,Parcel_012.csv,0.17,0.1,0.9922067660259999
20529,Uniform_eny_001.csv,0.13,0.1,0.9960473889720001
9443,DiagonalRot_enx_006.csv,0.05,0.04,0.955190671478
5837,Diagonal_enx_006.csv,0.04,0.08,0.954907372867
14268,Gauss_eny_006.csv,0.07,0.09,0.8672594852330001
15958,Parcel_008.csv,0.16,0.09,0.9947000020610001
5044,Diagonal_enx_002.csv,0.05,0.05,0.935626282986
10448,DiagonalRot_eny_005.csv,0.05,0.09,0.979355322248
3838,Diagonal_002.csv,0.04,0.09,0.9651813286509999
6351,Diagonal_eny_002.csv,0.16,0.02,0.9396747934119999
12964,Gauss_enx_005.csv,0.17,0.05,0.838360885749
588,Combo_003.csv,0.19,0.09,0.9403883436020001
18082,Uniform_001.csv,0.09,0.03,0.981694700574
20023,Uniform_enx_005.csv,0.03,0.04,0.974272556442
16800,Parcel_013.csv,0.01,0.01,0.739642753456
16846,Parcel_013.csv,0.05,0.07,0.985306898768
7790,DiagonalRot_003.csv,0.2,0.01,0.941678654157
12585,Gauss_enx_003.csv,0.19,0.06,0.846158974788
607,Combo_004.csv,0.01,0.08,0.923831134955
14910,Parcel_003.csv,0.12,0.01,0.934034486972
12443,Gauss_enx_003.csv,0.05,0.04,0.782733796405
18629,Uniform_004.csv,0.03,0.1,0.9888889817990001
2984,Combo_015.csv,0.19,0.05,0.9181900973620001
3279,Combo_017.csv,0.08,0.1,0.992880664554
9066,DiagonalRot_enx_004.csv,0.07,0.07,0.969987924746
2815,Combo_015.csv,0.02,0.06,0.872010422882
2649,Combo_014.csv,0.05,0.1,0.936290649032
4923,Diagonal_enx_001.csv,0.13,0.04,0.9532546886419999
14332,Gauss_eny_006.csv,0.14,0.03,0.820014601946
2347,Combo_012.csv,0.15,0.08,0.8989771594339999
13819,Gauss_eny_004.csv,0.02,0.1,0.7949306899070001
14735,Parcel_002.csv,0.14,0.06,0.99146890124
12092,Gauss_enx_001.csv,0.1,0.03,0.843250345448
6635,Diagonal_eny_004.csv,0.04,0.06,0.934694873306
8721,DiagonalRot_enx_002.csv,0.13,0.02,0.969844170505
6708,Diagonal_eny_004.csv,0.11,0.09,0.9478459210179999
1414,Combo_008.csv,0.02,0.05,0.971099377947
16410,Parcel_011.csv,0.02,0.01,0.875777564649
21036,Uniform_eny_004.csv,0.04,0.07,0.987745832843
8860,DiagonalRot_enx_003.csv,0.07,0.01,0.949108162646
6157,Diagonal_eny_001.csv,0.16,0.08,0.966697231699
3033,Combo_016.csv,0.04,0.04,0.971967978537
15888,Parcel_008.csv,0.09,0.09,0.9925569080299999
3628,Diagonal_001.csv,0.03,0.09,0.943731806239
18985,Uniform_005.csv,0.19,0.06,0.9931465969600001
15098,Parcel_004.csv,0.1,0.09,0.9911024977189999
5556,Diagonal_enx_004.csv,0.16,0.07,0.964474248554
1348,Combo_007.csv,0.15,0.09,0.993111590055
8495,DiagonalRot_enx_001.csv,0.1,0.06,0.9944398255310001
7063,Diagonal_eny_006.csv,0.07,0.04,0.9424895289249999
9895,DiagonalRot_eny_002.csv,0.1,0.06,0.9725631489959999
19605,Uniform_enx_003.csv,0.01,0.06,0.9622171261779999
5896,Diagonal_enx_006.csv,0.1,0.07,0.961770534567
8562,DiagonalRot_enx_001.csv,0.17,0.03,0.997617630115
1618,Combo_009.csv,0.02,0.09,0.981534140782
8471,DiagonalRot_enx_001.csv,0.08,0.02,0.994313157198
7045,Diagonal_eny_006.csv,0.05,0.06,0.943416270832
2924,Combo_015.csv,0.13,0.05,0.9079966824519999
3206,Combo_017.csv,0.01,0.07,0.969712068496
19034,Uniform_006.csv,0.04,0.05,0.9827554912180001
4274,Diagonal_004.csv,0.08,0.05,0.956349501603
13338,Gauss_eny_001.csv,0.14,0.09,0.8098667377869999
15536,Parcel_006.csv,0.14,0.07,0.9909674861489999
20071,Uniform_enx_005.csv,0.08,0.02,0.967308064473
18497,Uniform_003.csv,0.1,0.08,0.9905780315
1950,Combo_010.csv,0.16,0.01,0.832860701356
4829,Diagonal_enx_001.csv,0.03,0.1,0.9312975458249999
16468,Parcel_011.csv,0.07,0.09,0.991382641055
12441,Gauss_enx_003.csv,0.05,0.02,0.763627941967
1068,Combo_006.csv,0.07,0.09,0.9222870860299999
3660,Diagonal_001.csv,0.07,0.01,0.935630003156
18034,Uniform_001.csv,0.04,0.05,0.983998923062
2470,Combo_013.csv,0.08,0.01,0.9231005686489999
2274,Combo_012.csv,0.08,0.05,0.786176233596
1265,Combo_007.csv,0.07,0.06,0.985746891505
20735,Uniform_eny_002.csv,0.14,0.06,0.988854016999
7864,DiagonalRot_004.csv,0.07,0.05,0.9717603272859999
2845,Combo_015.csv,0.05,0.06,0.900308183591
3038,Combo_016.csv,0.04,0.09,0.9890518567450001
17366,Parcel_015.csv,0.17,0.07,0.990510724155
16503,Parcel_011.csv,0.11,0.04,0.987460457752
8774,DiagonalRot_enx_002.csv,0.18,0.05,0.9780354656200001
21186,Uniform_eny_004.csv,0.19,0.07,0.994993783758
5032,Diagonal_enx_002.csv,0.04,0.03,0.916572572675
20010,Uniform_enx_005.csv,0.02,0.01,0.876684727413
347,Combo_002.csv,0.15,0.08,0.886847188829
2260,Combo_012.csv,0.07,0.01,0.728680899824
6277,Diagonal_eny_002.csv,0.08,0.08,0.9505828998729999
13678,Gauss_eny_003.csv,0.08,0.09,0.880241720624
7091,Diagonal_eny_006.csv,0.1,0.02,0.9370773576870001
20620,Uniform_eny_002.csv,0.03,0.01,0.8645585484180001
9919,DiagonalRot_eny_002.csv,0.12,0.1,0.97706116924
5880,Diagonal_enx_006.csv,0.09,0.01,0.950664853779
4952,Diagonal_enx_001.csv,0.16,0.03,0.941810632456
8762,DiagonalRot_enx_002.csv,0.17,0.03,0.969369355255
1477,Combo_008.csv,0.08,0.08,0.9909003956970001
8372,DiagonalRot_006.csv,0.18,0.03,0.998530195084
18865,Uniform_005.csv,0.07,0.06,0.987058692199
18724,Uniform_004.csv,0.13,0.05,0.9907870962190001
16498,Parcel_011.csv,0.1,0.09,0.992866272967
9029,DiagonalRot_enx_004.csv,0.03,0.1,0.959758289074
7248,DiagonalRot_001.csv,0.05,0.09,0.978587497679
255,Combo_002.csv,0.06,0.06,0.824306784259
7283,DiagonalRot_001.csv,0.09,0.04,0.961817190901
18181,Uniform_001.csv,0.19,0.02,0.981670867222
4513,Diagonal_005.csv,0.12,0.04,0.9280759883249999
16340,Parcel_010.csv,0.15,0.01,0.92359948876
107,Combo_001.csv,0.11,0.08,0.821468781759
3717,Diagonal_001.csv,0.12,0.08,0.960544858448
6702,Diagonal_eny_004.csv,0.11,0.03,0.932768771256
416,Combo_003.csv,0.02,0.07,0.862916592538
6516,Diagonal_eny_003.csv,0.12,0.07,0.957057850657
15578,Parcel_006.csv,0.18,0.09,0.993629732116
14316,Gauss_eny_006.csv,0.12,0.07,0.8737054116940001
12295,Gauss_enx_002.csv,0.1,0.06,0.797001844179
21294,Uniform_eny_005.csv,0.1,0.05,0.984456895905
11621,Gauss_005.csv,0.03,0.02,0.7824052888549999
8775,DiagonalRot_enx_002.csv,0.18,0.06,0.976935711146
19004,Uniform_006.csv,0.01,0.05,0.9689259842389999
4606,Diagonal_006.csv,0.01,0.07,0.916919577234
21452,Uniform_eny_006.csv,0.06,0.03,0.973988972542
17537,Parcel_016.csv,0.14,0.08,0.991781723464
1900,Combo_010.csv,0.11,0.01,0.7997092967880001
7565,DiagonalRot_002.csv,0.17,0.06,0.989122826014
20703,Uniform_eny_002.csv,0.11,0.04,0.980804008075
20195,Uniform_enx_005.csv,0.2,0.06,0.9935169355940001
21214,Uniform_eny_005.csv,0.02,0.05,0.9594579907240001
39,Combo_001.csv,0.04,0.1,0.8065837231380001
15383,Parcel_005.csv,0.19,0.04,0.9859673300390001
9707,DiagonalRot_eny_001.csv,0.11,0.08,0.971280680359
12078,Gauss_enx_001.csv,0.08,0.09,0.827689099536
13298,Gauss_eny_001.csv,0.1,0.09,0.784806531174
14777,Parcel_002.csv,0.18,0.08,0.994489370452
15704,Parcel_007.csv,0.11,0.05,0.9887743639899998
2980,Combo_015.csv,0.19,0.01,0.914757733674
11615,Gauss_005.csv,0.02,0.06,0.79534377041
11895,Gauss_006.csv,0.1,0.06,0.7845213563310001
3544,Combo_018.csv,0.15,0.05,0.9900990874179999
2867,Combo_015.csv,0.07,0.08,0.916591302756
14878,Parcel_003.csv,0.08,0.09,0.9911508121060001
16293,Parcel_010.csv,0.1,0.04,0.9762886391429999
4570,Diagonal_005.csv,0.18,0.01,0.922083952217
